"","date","marketCapitalization"
"0","Jan 31, 2022","42728260171992"
"1","Jan 30, 2022","42130597769189"
"2","Jan 29, 2022","43028004366470"
"3","Jan 28, 2022","42445105903447"
"4","Jan 27, 2022","42044670410687"
"5","Jan 26, 2022","43312509291270"
"6","Jan 25, 2022","41869624732629"
"7","Jan 24, 2022","42674952519518"
"8","Jan 23, 2022","44894402975663"
"9","Jan 22, 2022","42668300283261"
"10","Jan 21, 2022","44925437928166"
"11","Jan 20, 2022","50138415669135"
"12","Jan 19, 2022","53690583519177"
"13","Jan 18, 2022","58522650547847"
"14","Jan 17, 2022","63611121446925"
"15","Jan 16, 2022","56156989934842"
"16","Jan 15, 2022","51727973811846"
"17","Jan 14, 2022","51366540537716"
"18","Jan 13, 2022","49012101008329"
"19","Jan 12, 2022","52004245182417"
"20","Jan 11, 2022","47587081256054"
"21","Jan 10, 2022","45276399172602"
"22","Jan 09, 2022","47111856776103"
"23","Jan 08, 2022","47643931295857"
"24","Jan 07, 2022","48881338008503"
"25","Jan 06, 2022","51457281345439"
"26","Jan 05, 2022","49583130504772"
"27","Jan 04, 2022","52538247082121"
"28","Jan 03, 2022","52614876017919"
"29","Jan 02, 2022","54841918916616"
"30","Jan 01, 2022","54817740161135"
"31","Dec 31, 2021","52234845875489"
"32","Dec 30, 2021","53967264700491"
"33","Dec 29, 2021","54082610343778"
"34","Dec 28, 2021","56886643368762"
"35","Dec 27, 2021","60032891723605"
"36","Dec 26, 2021","57850469385196"
"37","Dec 25, 2021","57749208191059"
"38","Dec 24, 2021","55233353945853"
"39","Dec 23, 2021","58612767933938"
"40","Dec 22, 2021","52934745088922"
"41","Dec 21, 2021","52099703011281"
"42","Dec 20, 2021","50264322000782"
"43","Dec 19, 2021","50505534132726"
"44","Dec 18, 2021","50419261782491"
"45","Dec 17, 2021","49431175128134"
"46","Dec 16, 2021","49179225119661"
"47","Dec 15, 2021","51998851317314"
"48","Dec 14, 2021","48447716970520"
"49","Dec 13, 2021","48375233376605"
"50","Dec 12, 2021","53190200691343"
"51","Dec 11, 2021","53465258911844"
"52","Dec 10, 2021","47728943851766"
"53","Dec 09, 2021","50567750774621"
"54","Dec 08, 2021","54865274527027"
"55","Dec 07, 2021","54441652899415"
