date	opening_price	high_price	low_price	trade_price	volume	marketCapitalization
Jan 31, 2022	₩1,255.19	₩1,275.65	₩1,224.78	₩1,269.20	₩1,119,762,910,207	₩42,728,260,171,992
Jan 30, 2022	₩1,282.09	₩1,300.86	₩1,244.09	₩1,255.01	₩905,040,241,672	₩42,130,597,769,189
Jan 29, 2022	₩1,270.90	₩1,307.34	₩1,260.20	₩1,281.88	₩1,104,704,729,945	₩43,028,004,366,470
Jan 28, 2022	₩1,255.64	₩1,280.51	₩1,222.12	₩1,271.03	₩1,452,205,723,767	₩42,445,105,903,447
Jan 27, 2022	₩1,295.35	₩1,295.35	₩1,215.08	₩1,256.00	₩1,825,190,408,030	₩42,044,670,410,687
Jan 26, 2022	₩1,248.48	₩1,373.90	₩1,229.36	₩1,295.73	₩2,916,091,595,927	₩43,312,509,291,270
Jan 25, 2022	₩1,275.30	₩1,282.58	₩1,196.05	₩1,248.43	₩2,112,093,331,295	₩41,869,624,732,629
Jan 24, 2022	₩1,338.85	₩1,340.71	₩1,145.99	₩1,275.39	₩3,860,317,413,976	₩42,674,952,519,518
Jan 23, 2022	₩1,273.29	₩1,389.23	₩1,260.50	₩1,338.36	₩2,817,669,205,017	₩44,894,402,975,663
Jan 22, 2022	₩1,339.38	₩1,374.11	₩1,113.17	₩1,272.17	₩4,687,484,316,689	₩42,668,300,283,261
Jan 21, 2022	₩1,501.13	₩1,528.19	₩1,322.79	₩1,339.57	₩3,588,996,192,100	₩44,925,437,928,166
Jan 20, 2022	₩1,594.22	₩1,692.34	₩1,500.02	₩1,500.24	₩2,003,639,531,278	₩50,138,415,669,135
Jan 19, 2022	₩1,747.76	₩1,825.61	₩1,582.09	₩1,594.34	₩3,942,017,659,475	₩53,690,583,519,177
Jan 18, 2022	₩1,901.52	₩1,937.68	₩1,692.14	₩1,748.47	₩5,106,196,118,775	₩58,522,650,547,847
Jan 17, 2022	₩1,676.05	₩1,898.72	₩1,658.21	₩1,898.72	₩6,290,342,587,547	₩63,611,121,446,925
Jan 16, 2022	₩1,542.50	₩1,690.93	₩1,536.81	₩1,674.91	₩2,900,283,505,745	₩56,156,989,934,842
Jan 15, 2022	₩1,536.73	₩1,565.89	₩1,496.46	₩1,542.89	₩1,151,857,170,954	₩51,727,973,811,846
Jan 14, 2022	₩1,463.79	₩1,551.42	₩1,458.59	₩1,536.54	₩2,202,724,397,754	₩51,366,540,537,716
Jan 13, 2022	₩1,547.26	₩1,605.79	₩1,463.55	₩1,463.55	₩2,398,596,589,837	₩49,012,101,008,329
Jan 12, 2022	₩1,410.22	₩1,549.27	₩1,410.22	₩1,547.12	₩1,964,193,029,498	₩52,004,245,182,417
Jan 11, 2022	₩1,351.35	₩1,420.68	₩1,346.38	₩1,409.69	₩1,305,904,547,778	₩47,587,081,256,054
Jan 10, 2022	₩1,405.77	₩1,410.45	₩1,296.07	₩1,351.58	₩1,774,445,675,962	₩45,276,399,172,602
Jan 09, 2022	₩1,422.33	₩1,441.90	₩1,381.35	₩1,405.86	₩1,303,622,217,159	₩47,111,856,776,103
Jan 08, 2022	₩1,450.92	₩1,500.30	₩1,362.96	₩1,422.11	₩1,795,350,654,938	₩47,643,931,295,857
Jan 07, 2022	₩1,541.51	₩1,544.51	₩1,435.03	₩1,451.02	₩2,109,725,858,011	₩48,881,338,008,503
Jan 06, 2022	₩1,482.56	₩1,559.98	₩1,431.98	₩1,541.35	₩1,871,280,720,934	₩51,457,281,345,439
Jan 05, 2022	₩1,571.05	₩1,617.88	₩1,443.28	₩1,483.51	₩1,695,825,504,366	₩49,583,130,504,772
Jan 04, 2022	₩1,580.10	₩1,616.66	₩1,552.84	₩1,570.71	₩1,213,192,165,308	₩52,538,247,082,121
Jan 03, 2022	₩1,637.81	₩1,637.81	₩1,572.69	₩1,580.26	₩1,137,358,827,819	₩52,614,876,017,919
Jan 02, 2022	₩1,637.11	₩1,651.06	₩1,600.84	₩1,637.79	₩1,048,464,962,256	₩54,841,918,916,616
Jan 01, 2022	₩1,557.59	₩1,637.06	₩1,557.18	₩1,637.06	₩1,012,069,392,120	₩54,817,740,161,135
Dec 31, 2021	₩1,619.76	₩1,640.06	₩1,532.00	₩1,557.68	₩1,513,994,357,438	₩52,234,845,875,489
Dec 30, 2021	₩1,578.88	₩1,629.71	₩1,540.06	₩1,619.70	₩1,531,552,855,373	₩53,967,264,700,491
Dec 29, 2021	₩1,666.57	₩1,704.41	₩1,573.80	₩1,576.59	₩1,803,050,870,762	₩54,082,610,343,778
Dec 28, 2021	₩1,797.88	₩1,823.68	₩1,641.88	₩1,666.93	₩2,506,192,590,274	₩56,886,643,368,762
Dec 27, 2021	₩1,725.90	₩1,888.82	₩1,723.24	₩1,795.30	₩2,242,062,037,194	₩60,032,891,723,605
Dec 26, 2021	₩1,725.35	₩1,742.93	₩1,674.69	₩1,726.14	₩1,319,728,120,470	₩57,850,469,385,196
Dec 25, 2021	₩1,654.93	₩1,733.92	₩1,644.28	₩1,725.33	₩1,193,433,588,467	₩57,749,208,191,059
Dec 24, 2021	₩1,747.50	₩1,769.46	₩1,642.22	₩1,652.77	₩1,586,162,228,718	₩55,233,353,945,853
Dec 23, 2021	₩1,578.61	₩1,766.16	₩1,557.23	₩1,748.47	₩2,457,313,775,363	₩58,612,767,933,938
Dec 22, 2021	₩1,525.32	₩1,627.59	₩1,521.80	₩1,577.65	₩1,821,334,174,340	₩52,934,745,088,922
Dec 21, 2021	₩1,471.67	₩1,535.09	₩1,465.51	₩1,525.95	₩1,367,713,076,980	₩52,099,703,011,281
Dec 20, 2021	₩1,477.02	₩1,500.97	₩1,431.05	₩1,473.84	₩1,621,778,466,331	₩50,264,322,000,782
Dec 19, 2021	₩1,475.83	₩1,555.40	₩1,475.02	₩1,478.47	₩1,449,459,195,251	₩50,505,534,132,726
Dec 18, 2021	₩1,449.84	₩1,505.24	₩1,427.78	₩1,475.99	₩1,256,774,990,260	₩50,419,261,782,491
Dec 17, 2021	₩1,471.80	₩1,493.50	₩1,409.74	₩1,449.10	₩1,632,401,338,193	₩49,431,175,128,134
Dec 16, 2021	₩1,555.03	₩1,577.25	₩1,467.10	₩1,471.55	₩1,533,091,563,153	₩49,179,225,119,661
Dec 15, 2021	₩1,500.81	₩1,575.43	₩1,434.65	₩1,555.06	₩1,936,743,179,431	₩51,998,851,317,314
Dec 14, 2021	₩1,451.20	₩1,505.13	₩1,420.91	₩1,449.34	₩1,891,779,517,086	₩48,447,716,970,520
Dec 13, 2021	₩1,591.83	₩1,603.49	₩1,424.83	₩1,452.25	₩1,710,986,102,088	₩48,375,233,376,605
Dec 12, 2021	₩1,596.97	₩1,667.53	₩1,561.09	₩1,591.11	₩1,739,807,339,936	₩53,190,200,691,343
Dec 11, 2021	₩1,433.03	₩1,608.71	₩1,411.46	₩1,599.37	₩2,000,534,502,708	₩53,465,258,911,844
Dec 10, 2021	₩1,522.11	₩1,570.80	₩1,429.04	₩1,431.00	₩2,028,157,260,036	₩47,728,943,851,766
Dec 09, 2021	₩1,634.37	₩1,653.30	₩1,520.56	₩1,520.56	₩1,959,015,019,300	₩50,567,750,774,621
Dec 08, 2021	₩1,625.30	₩1,670.34	₩1,580.78	₩1,638.28	₩2,076,489,490,854	₩54,865,274,527,027
Dec 07, 2021	₩1,680.29	₩1,740.47	₩1,613.41	₩1,626.48	₩2,609,694,393,533	₩54,441,652,899,415
Dec 06, 2021	₩1,630.76	₩1,699.02	₩1,486.25	₩1,682.89	₩3,123,976,091,516	₩56,145,929,167,604
Dec 05, 2021	₩1,682.53	₩1,701.44	₩1,528.49	₩1,629.48	₩3,594,369,462,480	₩54,373,639,490,361
Dec 04, 2021	₩1,845.71	₩1,845.99	₩1,427.32	₩1,682.65	₩4,827,856,827,842	₩56,054,504,415,297
Dec 03, 2021	₩2,025.07	₩2,036.39	₩1,814.45	₩1,843.54	₩3,148,187,871,089	₩61,025,540,806,906
Dec 02, 2021	₩1,821.96	₩2,067.40	₩1,791.36	₩2,018.77	₩4,374,602,407,325	₩67,270,394,670,502
Dec 01, 2021	₩1,836.91	₩1,903.26	₩1,806.38	₩1,821.97	₩1,971,082,775,974	₩60,992,372,656,741
Nov 30, 2021	₩1,908.03	₩1,935.03	₩1,842.11	₩1,839.38	₩2,160,593,989,303	₩61,690,129,489,402
Nov 29, 2021	₩1,906.57	₩1,951.25	₩1,861.83	₩1,908.51	₩2,154,192,195,302	₩63,833,007,801,059
Nov 28, 2021	₩1,849.57	₩1,911.36	₩1,714.38	₩1,904.60	₩2,674,190,327,387	₩63,455,049,033,762
Nov 27, 2021	₩1,831.98	₩1,896.36	₩1,831.98	₩1,848.91	₩1,866,166,581,937	₩61,593,200,347,464
Nov 26, 2021	₩1,995.40	₩2,007.58	₩1,791.02	₩1,827.75	₩3,584,316,599,403	₩60,606,083,955,596
Nov 25, 2021	₩1,982.21	₩2,082.06	₩1,930.28	₩1,965.60	₩3,653,027,214,850	₩65,403,325,808,528
Nov 24, 2021	₩2,084.08	₩2,083.76	₩1,895.24	₩2,004.99	₩2,360,577,971,376	₩66,857,540,293,939
Nov 23, 2021	₩2,117.05	₩2,161.40	₩2,076.96	₩2,083.19	₩2,101,765,151,893	₩69,423,915,614,462
Nov 22, 2021	₩2,188.42	₩2,190.23	₩2,094.40	₩2,114.99	₩1,882,165,808,383	₩70,455,080,489,234
Nov 21, 2021	₩2,291.56	₩2,291.56	₩2,186.09	₩2,190.17	₩1,492,838,484,546	₩73,039,934,723,566
Nov 20, 2021	₩2,222.17	₩2,330.94	₩2,217.38	₩2,290.21	₩1,945,706,429,665	₩76,294,332,259,661
Nov 19, 2021	₩2,114.30	₩2,255.58	₩2,082.33	₩2,222.35	₩2,245,207,825,716	₩73,490,999,880,486
Nov 18, 2021	₩2,217.30	₩2,252.44	₩2,022.79	₩2,115.60	₩2,968,411,644,305	₩70,403,530,216,886
Nov 17, 2021	₩2,223.61	₩2,241.14	₩2,133.07	₩2,216.44	₩3,398,232,252,808	₩73,986,067,013,393
Nov 16, 2021	₩2,392.23	₩2,392.23	₩2,111.88	₩2,222.93	₩4,025,180,489,157	₩74,018,547,189,232
Nov 15, 2021	₩2,408.58	₩2,469.89	₩2,385.49	₩2,385.65	₩1,665,075,046,409	₩79,228,951,338,713
Nov 14, 2021	₩2,421.37	₩2,442.54	₩2,374.13	₩2,408.11	₩1,802,324,984,891	₩80,186,495,369,581
Nov 13, 2021	₩2,414.39	₩2,453.67	₩2,387.81	₩2,422.55	₩2,386,473,509,636	₩80,667,966,976,609
Nov 12, 2021	₩2,478.56	₩2,477.37	₩2,351.54	₩2,413.89	₩3,354,545,054,729	₩81,087,894,432,906
Nov 11, 2021	₩2,490.89	₩2,545.67	₩2,445.82	₩2,482.48	₩4,263,755,498,472	₩82,302,885,447,807
Nov 10, 2021	₩2,673.92	₩2,779.10	₩2,303.83	₩2,490.93	₩7,585,370,625,376	₩82,481,495,533,467
Nov 09, 2021	₩2,553.25	₩2,793.10	₩2,482.51	₩2,679.30	₩8,834,314,528,175	₩90,871,551,205,528
Nov 08, 2021	₩2,389.33	₩2,524.48	₩2,377.15	₩2,551.13	₩3,731,061,300,132	₩83,558,485,128,204
Nov 07, 2021	₩2,371.23	₩2,405.73	₩2,337.20	₩2,389.24	₩2,211,666,669,020	₩79,511,751,213,668
Nov 06, 2021	₩2,345.64	₩2,410.19	₩2,300.16	₩2,370.81	₩2,224,822,776,366	₩78,911,581,251,432
Nov 05, 2021	₩2,353.73	₩2,393.39	₩2,326.10	₩2,346.70	₩2,697,769,582,886	₩78,401,451,156,917
Nov 04, 2021	₩2,436.88	₩2,475.78	₩2,320.68	₩2,353.89	₩3,896,553,459,530	₩77,946,749,585,357
Nov 03, 2021	₩2,324.52	₩2,533.43	₩2,303.52	₩2,435.87	₩5,568,639,421,216	₩80,958,362,649,772
Nov 02, 2021	₩2,296.03	₩2,350.18	₩2,272.27	₩2,324.49	₩2,896,772,624,212	₩77,234,201,176,024
Nov 01, 2021	₩2,308.06	₩2,373.28	₩2,260.09	₩2,296.24	₩3,111,938,708,534	₩76,205,446,798,111
Oct 31, 2021	₩2,297.38	₩2,375.34	₩2,258.84	₩2,308.14	₩2,873,303,665,453	₩76,794,806,040,985
Oct 30, 2021	₩2,363.56	₩2,369.18	₩2,269.81	₩2,299.21	₩2,717,989,971,008	₩76,464,740,861,009
Oct 29, 2021	₩2,322.03	₩2,393.58	₩2,317.91	₩2,363.53	₩3,370,103,188,801	₩78,186,528,656,991
Oct 28, 2021	₩2,241.35	₩2,403.60	₩2,240.79	₩2,322.97	₩5,268,267,535,073	₩77,501,973,830,645
Oct 27, 2021	₩2,497.72	₩2,521.44	₩2,145.52	₩2,242.51	₩5,909,885,475,237	₩74,339,337,777,477
Oct 26, 2021	₩2,504.22	₩2,563.84	₩2,487.10	₩2,498.80	₩3,274,172,427,639	₩83,086,268,901,889
Oct 25, 2021	₩2,496.15	₩2,540.56	₩2,491.56	₩2,504.40	₩2,823,815,031,879	₩83,125,875,345,407
Oct 24, 2021	₩2,551.21	₩2,554.59	₩2,467.44	₩2,500.43	₩2,577,205,853,378	₩82,265,682,378,208
Oct 23, 2021	₩2,538.78	₩2,560.87	₩2,513.75	₩2,551.21	₩2,491,601,852,911	₩83,956,289,067,306
Oct 22, 2021	₩2,517.03	₩2,594.72	₩2,513.96	₩2,536.66	₩3,280,513,817,897	₩83,468,228,168,395
Oct 21, 2021	₩2,574.12	₩2,701.75	₩2,519.68	₩2,515.94	₩4,663,580,507,113	₩82,648,227,437,943
Oct 20, 2021	₩2,482.37	₩2,591.71	₩2,460.74	₩2,569.78	₩3,555,034,036,645	₩84,555,267,345,989
