"","data","marketCapitalization"
"0","Jan 31, 2022","881948067377352"
"1","Jan 30, 2022","869037939107130"
"2","Jan 29, 2022","874050385919075"
"3","Jan 28, 2022","861608494113358"
"4","Jan 27, 2022","842564274350231"
"5","Jan 26, 2022","835220802291534"
"6","Jan 25, 2022","837561102457710"
"7","Jan 24, 2022","827790142749680"
"8","Jan 23, 2022","819331522599264"
"9","Jan 22, 2022","791139841961235"
"10","Jan 21, 2022","824183298848024"
"11","Jan 20, 2022","916299412686759"
"12","Jan 19, 2022","942573177131018"
"13","Jan 18, 2022","955236307442776"
"14","Jan 17, 2022","952052409923470"
"15","Jan 16, 2022","971503899059332"
"16","Jan 15, 2022","972876355256262"
"17","Jan 14, 2022","968195724428575"
"18","Jan 13, 2022","956801199723348"
"19","Jan 12, 2022","990430182064147"
"20","Jan 11, 2022","967442718583613"
"21","Jan 10, 2022","947912224168175"
"22","Jan 09, 2022","949848358403564"
"23","Jan 08, 2022","945858554929900"
"24","Jan 07, 2022","947113999645601"
"25","Jan 06, 2022","980449914972356"
"26","Jan 05, 2022","986925068390047"
"27","Jan 04, 2022","1038190433887610"
"28","Jan 03, 2022","1044966570651283"
"29","Jan 02, 2022","1064866010162265"
"30","Jan 01, 2022","1072493633434876"
"31","Dec 31, 2021","1042702844465930"
"32","Dec 30, 2021","1057075001283231"
"33","Dec 29, 2021","1042944685717225"
"34","Dec 28, 2021","1068064028074875"
"35","Dec 27, 2021","1135408345818109"
"36","Dec 26, 2021","1140607512942043"
"37","Dec 25, 2021","1132034957651541"
"38","Dec 24, 2021","1140279879966150"
"39","Dec 23, 2021","1142054993094963"
"40","Dec 22, 2021","1094249816603699"
"41","Dec 21, 2021","1101316206482995"
"42","Dec 20, 2021","1052828262343947"
"43","Dec 19, 2021","1048920288441655"
"44","Dec 18, 2021","1052054814119059"
"45","Dec 17, 2021","1035497847967452"
"46","Dec 16, 2021","1066385904060217"
"47","Dec 15, 2021","1095792106996153"
"48","Dec 14, 2021","1043381073329281"
"49","Dec 13, 2021","1043204777772855"
"50","Dec 12, 2021","1118198098295057"
"51","Dec 11, 2021","1101723036502716"
"52","Dec 10, 2021","1051996950565717"
"53","Dec 09, 2021","1056782468012421"
"54","Dec 08, 2021","1123052757702512"
"55","Dec 07, 2021","1131173216606906"
"56","Dec 06, 2021","1130002840140541"
"57","Dec 05, 2021","1104661073091842"
"58","Dec 04, 2021","1100837936206659"
"59","Dec 03, 2021","1193441874103635"
"60","Dec 02, 2021","1257014780991486"
"61","Dec 01, 2021","1280149335760667"
"62","Nov 30, 2021","1281096902524423"
"63","Nov 29, 2021","1305451892052365"
"64","Nov 28, 2021","1292918788976277"
"65","Nov 27, 2021","1237905166410127"
"66","Nov 26, 2021","1204229453549325"
"67","Nov 25, 2021","1285715811520073"
"68","Nov 24, 2021","1263609339206178"
"69","Nov 23, 2021","1291941177161653"
"70","Nov 22, 2021","1265194124448108"
"71","Nov 21, 2021","1321415984148494"
"72","Nov 20, 2021","1343108176951366"
"73","Nov 19, 2021","1297554192160366"
"74","Nov 18, 2021","1269405435822192"
"75","Nov 17, 2021","1349093711211672"
"76","Nov 16, 2021","1344081425243940"
"77","Nov 15, 2021","1415486766588905"
"78","Nov 14, 2021","1457915259434724"
"79","Nov 13, 2021","1435633330876507"
"80","Nov 12, 2021","1433342189568789"
"81","Nov 11, 2021","1452192224001305"
"82","Nov 10, 2021","1445753702171433"
"83","Nov 09, 2021","1516868093147101"
"84","Nov 08, 2021","1506467011213648"
"85","Nov 07, 2021","1411631124420631"
"86","Nov 06, 2021","1371448986899021"
"87","Nov 05, 2021","1366835875856154"
"88","Nov 04, 2021","1367824543253394"
"89","Nov 03, 2021","1400627197648817"
"90","Nov 02, 2021","1403173798419616"
"91","Nov 01, 2021","1351513698870433"
"92","Oct 31, 2021","1358419838467113"
"93","Oct 30, 2021","1370979014202047"
"94","Oct 29, 2021","1371000843413778"
"95","Oct 28, 2021","1340570645454385"
"96","Oct 27, 2021","1287566804402653"
"97","Oct 26, 2021","1330140721868652"
"98","Oct 25, 2021","1399583815045472"
"99","Oct 24, 2021","1352530166516212"
"100","Oct 23, 2021","1362896678866997"
"101","Oct 22, 2021","1348103525677423"
"102","Oct 21, 2021","1378679358088219"
"103","Oct 20, 2021","1464029321896395"
"104","Oct 19, 2021","1435419714898760"
"105","Oct 18, 2021","1382274436264999"
"106","Oct 17, 2021","1372128082032642"
"107","Oct 16, 2021","1357312087117253"
"108","Oct 15, 2021","1373100930192979"
"109","Oct 14, 2021","1283347755034214"
"110","Oct 13, 2021","1295228577833619"
"111","Oct 12, 2021","1264206229266830"
"112","Oct 11, 2021","1295990835711269"
"113","Oct 10, 2021","1234762308623039"
"114","Oct 09, 2021","1239128887006287"
"115","Oct 08, 2021","1211000204774889"
"116","Oct 07, 2021","1208026647770503"
"117","Oct 06, 2021","1237781426820126"
"118","Oct 05, 2021","1149905192278326"
"119","Oct 04, 2021","1091909868577869"
"120","Oct 03, 2021","1071647162044197"
"121","Oct 02, 2021","1060734501798391"
"122","Oct 01, 2021","1073524236387999"
"123","Sep 30, 2021","979030672687019"
"124","Sep 29, 2021","929511794757624"
"125","Sep 28, 2021","910949918210067"
"126","Sep 27, 2021","937322912211579"
"127","Sep 26, 2021","960130492997577"
"128","Sep 25, 2021","949156181172204"
"129","Sep 24, 2021","946417456986827"
"130","Sep 23, 2021","1001330242875499"
"131","Sep 22, 2021","971713368906421"
"132","Sep 21, 2021","910051364864530"
"133","Sep 20, 2021","952797867299051"
"134","Sep 19, 2021","1051374171595187"
"135","Sep 18, 2021","1073964835389321"
"136","Sep 17, 2021","1046294216689456"
"137","Sep 16, 2021","1048856728283485"
"138","Sep 15, 2021","1062922968128075"
"139","Sep 14, 2021","1039877354118665"
"140","Sep 13, 2021","990634035007669"
"141","Sep 12, 2021","1014294227781116"
"142","Sep 11, 2021","995269883938701"
"143","Sep 10, 2021","987690722476396"
"144","Sep 09, 2021","1020501873951782"
"145","Sep 08, 2021","1008038271167261"
"146","Sep 07, 2021","1018878003791489"
"147","Sep 06, 2021","1144163482110193"
"148","Sep 05, 2021","1124954905417803"
"149","Sep 04, 2021","1085579936810776"
"150","Sep 03, 2021","1089048431129713"
"151","Sep 02, 2021","1072445215899537"
"152","Sep 01, 2021","1063899805977707"
"153","Aug 31, 2021","1034447361421969"
"154","Aug 30, 2021","1029821489442622"
"155","Aug 29, 2021","1067085541704362"
"156","Aug 28, 2021","1068614575297885"
"157","Aug 27, 2021","1081558690122743"
