date	opening_price	high_price	low_price	trade_price	volume	marketCapitalization
Jan 31, 2022	₩45,871,523.29	₩46,750,938.70	₩44,435,982.53	₩46,552,387.76	₩25,082,453,150,974	₩881,948,067,377,352
Jan 30, 2022	₩46,156,572.91	₩46,295,000.55	₩45,292,514.98	₩45,873,094.96	₩17,715,911,342,905	₩869,037,939,107,130
Jan 29, 2022	₩45,707,485.35	₩46,669,949.52	₩45,254,725.93	₩46,139,949.81	₩20,801,694,625,819	₩874,050,385,919,075
Jan 28, 2022	₩44,695,779.69	₩45,688,245.30	₩43,591,476.81	₩45,485,348.81	₩26,771,438,744,451	₩861,608,494,113,358
Jan 27, 2022	₩44,127,299.87	₩44,494,339.86	₩42,674,909.42	₩44,482,257.02	₩29,993,326,174,907	₩842,564,274,350,231
Jan 26, 2022	₩44,214,265.55	₩46,457,726.99	₩43,525,505.53	₩44,096,531.32	₩37,482,403,208,856	₩835,220,802,291,534
Jan 25, 2022	₩43,863,859.60	₩44,808,949.10	₩42,816,318.41	₩44,221,899.84	₩31,625,931,952,600	₩837,561,102,457,710
Jan 24, 2022	₩43,256,760.22	₩44,415,562.91	₩39,570,114.54	₩43,708,214.82	₩49,911,698,466,166	₩827,790,142,749,680
Jan 23, 2022	₩41,797,481.88	₩43,450,368.67	₩41,484,551.84	₩43,263,717.28	₩31,029,038,118,917	₩819,331,522,599,264
Jan 22, 2022	₩43,496,018.23	₩43,755,075.79	₩40,964,914.59	₩41,777,078.26	₩47,363,376,033,665	₩791,139,841,961,235
Jan 21, 2022	₩48,588,418.15	₩49,019,295.80	₩42,728,884.34	₩43,523,845.75	₩51,349,013,156,607	₩824,183,298,848,024
Jan 20, 2022	₩49,655,719.85	₩51,641,038.37	₩48,381,491.68	₩48,390,527.42	₩24,245,014,539,325	₩916,299,412,686,759
Jan 19, 2022	₩50,531,767.86	₩50,656,104.74	₩49,182,878.98	₩49,780,827.00	₩27,537,060,108,216	₩942,573,177,131,018
Jan 18, 2022	₩50,303,019.22	₩50,641,543.99	₩49,281,653.67	₩50,452,510.84	₩26,689,972,884,522	₩955,236,307,442,776
Jan 17, 2022	₩51,319,155.37	₩51,392,080.07	₩49,607,888.59	₩50,286,573.32	₩25,816,498,569,088	₩952,052,409,923,470
Jan 16, 2022	₩51,385,951.01	₩51,701,094.50	₩50,813,418.50	₩51,316,726.94	₩21,308,150,980,438	₩971,503,899,059,332
Jan 15, 2022	₩51,302,467.03	₩52,043,729.50	₩50,787,245.86	₩51,392,328.30	₩21,866,681,024,802	₩972,876,355,256,262
Jan 14, 2022	₩50,553,428.07	₩51,440,884.56	₩49,822,097.33	₩51,147,775.22	₩27,980,049,376,321	₩968,195,724,428,575
Jan 13, 2022	₩52,156,821.07	₩52,550,466.97	₩50,376,951.74	₩50,548,480.42	₩56,600,737,663,975	₩956,801,199,723,348
Jan 12, 2022	₩50,891,153.72	₩52,549,961.35	₩50,637,315.82	₩52,328,180.79	₩39,886,842,297,401	₩990,430,182,064,147
Jan 11, 2022	₩50,020,075.13	₩51,433,440.17	₩49,527,579.58	₩51,116,112.76	₩31,490,351,545,578	₩967,442,718,583,613
Jan 10, 2022	₩50,193,276.98	₩50,539,698.76	₩47,661,878.91	₩50,086,725.91	₩38,449,242,436,184	₩947,912,224,168,175
Jan 09, 2022	₩49,979,631.67	₩51,092,427.22	₩49,504,719.85	₩50,191,447.98	₩25,501,196,476,775	₩949,848,358,403,564
Jan 08, 2022	₩49,776,297.40	₩50,575,703.57	₩48,711,354.05	₩49,982,865.62	₩33,613,811,409,805	₩945,858,554,929,900
Jan 07, 2022	₩51,973,401.04	₩51,973,401.04	₩49,472,953.04	₩50,051,604.53	₩101,404,911,815,458	₩947,113,999,645,601
Jan 06, 2022	₩52,301,415.91	₩52,521,362.10	₩51,196,969.48	₩51,815,704.19	₩36,265,468,597,403	₩980,449,914,972,356
Jan 05, 2022	₩54,950,231.12	₩56,182,961.67	₩51,237,585.43	₩52,160,354.07	₩44,117,732,482,874	₩986,925,068,390,047
Jan 04, 2022	₩55,543,601.70	₩56,676,615.00	₩54,699,083.89	₩54,872,571.99	₩50,804,257,753,650	₩1,038,190,433,887,610
Jan 03, 2022	₩56,286,036.89	₩56,484,797.58	₩54,493,696.51	₩55,233,366.09	₩39,318,368,374,699	₩1,044,966,570,651,283
Jan 02, 2022	₩56,686,900.05	₩56,925,246.24	₩55,707,274.44	₩56,287,785.82	₩33,231,062,003,202	₩1,064,866,010,162,265
Jan 01, 2022	₩55,059,107.00	₩56,860,933.50	₩55,031,455.35	₩56,693,896.47	₩29,225,841,148,116	₩1,072,493,633,434,876
Dec 31, 2021	₩56,149,594.01	₩57,700,846.42	₩54,543,270.13	₩55,122,381.16	₩44,013,406,223,684	₩1,042,702,844,465,930
Dec 30, 2021	₩55,070,383.66	₩56,716,147.49	₩54,560,680.81	₩55,884,784.29	₩31,611,446,348,569	₩1,057,075,001,283,231
Dec 29, 2021	₩56,539,856.33	₩57,128,562.08	₩54,851,187.62	₩55,139,937.87	₩35,674,944,547,007	₩1,042,944,685,717,225
Dec 28, 2021	₩60,138,611.50	₩60,138,611.50	₩56,263,470.05	₩56,470,710.14	₩39,669,732,163,078	₩1,068,064,028,074,875
Dec 27, 2021	₩60,226,492.89	₩61,594,224.89	₩59,867,120.12	₩60,034,216.49	₩28,836,511,896,174	₩1,135,408,345,818,109
Dec 26, 2021	₩59,859,866.80	₩60,771,123.77	₩58,903,617.16	₩60,311,910.51	₩24,885,129,950,558	₩1,140,607,512,942,043
