"","date","marketCapitalization"
"0","Jan 31, 2022","388259755263065"
"1","Jan 30, 2022","376007473046674"
"2","Jan 29, 2022","375042908381356"
"3","Jan 28, 2022","365894201008423"
"4","Jan 27, 2022","347220287704616"
"5","Jan 26, 2022","352306130861286"
"6","Jan 25, 2022","350380013277967"
"7","Jan 24, 2022","347153343290603"
"8","Jan 23, 2022","360629435507749"
"9","Jan 22, 2022","342117173525096"
"10","Jan 21, 2022","363773876118199"
"11","Jan 20, 2022","425230592471304"
"12","Jan 19, 2022","440372611907690"
"13","Jan 18, 2022","449274336809276"
"14","Jan 17, 2022","455744249980001"
"15","Jan 16, 2022","475380483927532"
"16","Jan 15, 2022","472433987870427"
"17","Jan 14, 2022","468113700999040"
"18","Jan 13, 2022","458995953108432"
"19","Jan 12, 2022","477886465421703"
"20","Jan 11, 2022","462160501419389"
"21","Jan 10, 2022","439795697521481"
"22","Jan 09, 2022","450362847712960"
"23","Jan 08, 2022","440967494557350"
"24","Jan 07, 2022","457911391873677"
"25","Jan 06, 2022","488467905429123"
"26","Jan 05, 2022","506106653938900"
"27","Jan 04, 2022","539958804218071"
"28","Jan 03, 2022","532205386640008"
"29","Jan 02, 2022","541788749556295"
"30","Jan 01, 2022","533257399893102"
"31","Dec 31, 2021","521630913874583"
"32","Dec 30, 2021","523382877795750"
"33","Dec 29, 2021","513052685544656"
"34","Dec 28, 2021","536416664239408"
"35","Dec 27, 2021","569199109988241"
"36","Dec 26, 2021","574066836114147"
"37","Dec 25, 2021","577663907909544"
"38","Dec 24, 2021","570546873093370"
"39","Dec 23, 2021","580067768267130"
"40","Dec 22, 2021","563827906366681"
"41","Dec 21, 2021","568653142352615"
"42","Dec 20, 2021","555234732998406"
"43","Dec 19, 2021","553601409865854"
"44","Dec 18, 2021","558938541532929"
"45","Dec 17, 2021","546625251304349"
"46","Dec 16, 2021","557865791454790"
"47","Dec 15, 2021","565592792073133"
"48","Dec 14, 2021","527076027848840"
"49","Dec 13, 2021","530601752752911"
"50","Dec 12, 2021","579654678961337"
"51","Dec 11, 2021","572578100896406"
"52","Dec 10, 2021","546610855630466"
"53","Dec 09, 2021","573321916969364"
"54","Dec 08, 2021","619986934367006"
"55","Dec 07, 2021","604455863109815"
"56","Dec 06, 2021","611414422936695"
"57","Dec 05, 2021","589828077766769"
"58","Dec 04, 2021","578701785870946"
"59","Dec 03, 2021","589087503621187"
"60","Dec 02, 2021","629750448872370"
"61","Dec 01, 2021","643375183546604"
"62","Nov 30, 2021","653936444031233"
"63","Nov 29, 2021","630060395949216"
"64","Nov 28, 2021","608702540305816"
"65","Nov 27, 2021","580637737633984"
"66","Nov 26, 2021","568573043012201"
"67","Nov 25, 2021","602144942934164"
"68","Nov 24, 2021","597746901461800"
"69","Nov 23, 2021","612176480293808"
"70","Nov 22, 2021","576512887884578"
"71","Nov 21, 2021","602651350960891"
"72","Nov 20, 2021","622369878153466"
"73","Nov 19, 2021","602102845767741"
"74","Nov 18, 2021","559756700154033"
"75","Nov 17, 2021","601050128296025"
"76","Nov 16, 2021","590723530931713"
"77","Nov 15, 2021","636480233611021"
"78","Nov 14, 2021","646019013662592"
"79","Nov 13, 2021","649451804079734"
"80","Nov 12, 2021","657305011181361"
"81","Nov 11, 2021","663231180090035"
"82","Nov 10, 2021","646305062000161"
"83","Nov 09, 2021","672541634805920"
"84","Nov 08, 2021","672498162789214"
"85","Nov 07, 2021","645549945437689"
"86","Nov 06, 2021","631649800968199"
"87","Nov 05, 2021","628981609102899"
"88","Nov 04, 2021","633083104896616"
"89","Nov 03, 2021","642096095585703"
"90","Nov 02, 2021","638056529342355"
"91","Nov 01, 2021","600273384422352"
"92","Oct 31, 2021","595132174593510"
"93","Oct 30, 2021","600279361042118"
"94","Oct 29, 2021","609319297307287"
"95","Oct 28, 2021","593554068645373"
"96","Oct 27, 2021","542309649437688"
"97","Oct 26, 2021","569826944999023"
"98","Oct 25, 2021","586450727495906"
"99","Oct 24, 2021","568247204992667"
"100","Oct 23, 2021","579893934546015"
"101","Oct 22, 2021","551828559395857"
"102","Oct 21, 2021","562521697530483"
"103","Oct 20, 2021","576642315502771"
"104","Oct 19, 2021","542592083442273"
"105","Oct 18, 2021","523133817343358"
"106","Oct 17, 2021","536795869092188"
"107","Oct 16, 2021","534401250387168"
"108","Oct 15, 2021","538638324363048"
"109","Oct 14, 2021","529916169180376"
"110","Oct 13, 2021","509420875132256"
