date	opening_price	high_price	low_price	trade_price	volume	marketCapitalization
Jan 31, 2022	₩3,149,123.75	₩3,250,670.34	₩3,017,441.05	₩3,242,388.18	₩16,667,297,642,645	₩388,259,755,263,065
Jan 30, 2022	₩3,143,769.91	₩3,183,504.22	₩3,085,318.19	₩3,149,369.54	₩11,494,672,392,035	₩376,007,473,046,674
Jan 29, 2022	₩3,080,890.67	₩3,178,908.14	₩3,057,177.34	₩3,141,979.03	₩13,516,073,127,972	₩375,042,908,381,356
Jan 28, 2022	₩2,914,697.11	₩3,083,537.80	₩2,853,555.11	₩3,081,497.35	₩17,652,288,722,175	₩365,894,201,008,423
Jan 27, 2022	₩2,962,612.24	₩3,020,749.83	₩2,803,105.31	₩2,916,327.21	₩19,364,809,189,952	₩347,220,287,704,616
Jan 26, 2022	₩2,937,609.24	₩3,233,063.52	₩2,905,694.32	₩2,963,623.10	₩25,397,340,543,091	₩352,306,130,861,286
Jan 25, 2022	₩2,918,112.68	₩2,988,611.59	₩2,827,690.32	₩2,938,035.00	₩19,347,049,164,672	₩350,380,013,277,967
Jan 24, 2022	₩3,023,906.62	₩3,025,477.68	₩2,602,731.76	₩2,918,063.50	₩33,651,713,712,502	₩347,153,343,290,603
Jan 23, 2022	₩2,870,498.06	₩3,031,761.81	₩2,840,194.98	₩3,022,890.72	₩19,655,824,391,251	₩360,629,435,507,749
Jan 22, 2022	₩3,054,421.91	₩3,118,943.86	₩2,779,052.90	₩2,868,418.94	₩32,641,094,721,602	₩342,117,173,525,096
Jan 21, 2022	₩3,581,041.11	₩3,617,045.74	₩2,977,699.27	₩3,050,589.25	₩31,954,712,041,102	₩363,773,876,118,199
Jan 20, 2022	₩3,677,956.49	₩3,879,756.51	₩3,578,597.95	₩3,578,850.65	₩12,650,017,723,860	₩425,230,592,471,304
Jan 19, 2022	₩3,774,645.37	₩3,780,096.89	₩3,642,361.22	₩3,678,615.05	₩15,733,313,911,626	₩440,372,611,907,690
Jan 18, 2022	₩3,826,059.39	₩3,844,677.46	₩3,695,319.17	₩3,774,854.13	₩15,512,679,213,173	₩449,274,336,809,276
Jan 17, 2022	₩3,988,294.91	₩3,994,093.74	₩3,760,245.37	₩3,826,079.99	₩14,692,188,381,526	₩455,744,249,980,001
Jan 16, 2022	₩3,964,026.54	₩4,018,795.29	₩3,917,816.64	₩3,988,264.90	₩11,314,534,042,671	₩475,380,483,927,532
Jan 15, 2022	₩3,939,575.17	₩4,004,674.68	₩3,902,470.82	₩3,964,197.64	₩11,450,300,102,349	₩472,433,987,870,427
Jan 14, 2022	₩3,855,577.61	₩3,964,181.48	₩3,808,193.34	₩3,939,762.29	₩16,096,856,714,145	₩468,113,700,999,040
Jan 13, 2022	₩3,999,156.25	₩4,022,865.91	₩3,854,375.92	₩3,855,149.97	₩18,138,510,285,100	₩458,995,953,108,432
Jan 12, 2022	₩3,852,152.46	₩4,034,466.16	₩3,833,917.10	₩3,999,338.14	₩19,820,569,188,682	₩477,886,465,421,703
Jan 11, 2022	₩3,693,901.04	₩3,867,444.88	₩3,662,216.00	₩3,851,750.00	₩18,225,671,512,026	₩462,160,501,419,389
Jan 10, 2022	₩3,781,625.77	₩3,813,596.45	₩3,536,919.31	₩3,694,029.22	₩23,396,745,795,004	₩439,795,697,521,481
Jan 09, 2022	₩3,702,476.45	₩3,840,308.35	₩3,683,572.98	₩3,781,842.57	₩14,771,462,333,586	₩450,362,847,712,960
Jan 08, 2022	₩3,824,714.29	₩3,880,847.87	₩3,617,671.03	₩3,702,807.23	₩19,207,670,757,442	₩440,967,494,557,350
Jan 07, 2022	₩4,116,383.77	₩4,119,544.16	₩3,750,303.51	₩3,824,364.50	₩29,500,358,219,323	₩457,911,391,873,677
Jan 06, 2022	₩4,260,539.20	₩4,260,539.20	₩4,022,598.77	₩4,117,070.71	₩29,158,628,805,602	₩488,467,905,429,123
Jan 05, 2022	₩4,543,633.62	₩4,601,260.34	₩4,147,947.97	₩4,261,352.70	₩21,628,435,336,138	₩506,106,653,938,900
Jan 04, 2022	₩4,497,384.13	₩4,643,634.17	₩4,449,295.96	₩4,543,379.19	₩16,776,495,068,006	₩539,958,804,218,071
Jan 03, 2022	₩4,552,878.24	₩4,581,821.59	₩4,422,669.40	₩4,497,406.49	₩14,362,657,630,536	₩532,205,386,640,008
Jan 02, 2022	₩4,481,243.53	₩4,560,736.05	₩4,431,380.79	₩4,552,913.07	₩11,747,883,893,647	₩541,788,749,556,295
Jan 01, 2022	₩4,378,701.10	₩4,481,979.95	₩4,377,796.93	₩4,481,717.27	₩11,622,718,510,555	₩533,257,399,893,102
Dec 31, 2021	₩4,421,173.53	₩4,526,428.69	₩4,327,966.10	₩4,378,208.61	₩16,855,525,310,655	₩521,630,913,874,583
Dec 30, 2021	₩4,303,019.19	₩4,486,523.32	₩4,256,652.54	₩4,421,676.04	₩15,312,440,426,814	₩523,382,877,795,750
Dec 29, 2021	₩4,514,164.42	₩4,541,508.75	₩4,279,977.39	₩4,298,649.92	₩18,690,030,830,128	₩513,052,685,544,656
